description,time
6分钟前,1.13400
夏果夏果~~,1.87000
来的好早,4.93200
来啦来啦～,5.49800
赶海视频,6.93900
投币了兄弟们,7.61900
哥们这帅啊！,12.49200
愣着干嘛，投币啦！,15.86200
看reaction,15.98800
经典ok,31.77700
你终于又唱歌啦！,37.90700
长春大学,38.07000
超级棒呀,38.35200
帅,47.30300
WC，开口脆！好听！！,48.85900
好好听,50.04900
哇！！！,50.60400
豪庭,50.63200
加油 平凡的勇者,52.26200
林俊杰异地登录？,54.65900
声音真的好好听,55.51800
好听，音色绝了,56.39900
萌萌终于发弹唱啦！开心！唱的好好，祝你开心,58.00900
？,65.13200
\好听/\好听/\好听/\好听/\好听/,65.57600
好棒的氛圍,67.34200
期末周大学生来这里寻求心灵慰籍了,69.66000
好喜欢这种感觉啊,71.61100
帅,71.84500
音色有点像林俊杰，好听,83.10700
这个币必须给,85.18900
哈哈哈哈可不可以来点歌环节！（如期的每个评论嘿嘿）,90.89600
哇，好棒,93.49300
nice,94.70100
很好听,98.48300
哇！,109.95100
好听,110.19900
好好听啊,111.95300
好好听！！！！,112.38500
好好听呀,112.44700
哭了,114.56500
太好听了,116.76500
好好听,116.81800
太好听了吧,117.49900
唱的真挺好，设备差了点,118.21900
好听！,120.16300
萌萌是要毕业了吗？之后会去哪就业呀？,120.62700
唱得真好！,121.81900
好听！！！！,122.82300
好听啊萌萌,122.97100
牛逼,127.50900
好好听,128.40300
好听,130.31900
up做自媒体就挺好，播放量收入加偶尔接点商单，应该足够养活自己,130.97900
欢乐与大家永远相伴~,131.09000
好好听,134.93000
好汀！,135.39100
好强,135.57900
闭合好好,135.75800
好听,136.02200
预祝大家礼拜一生活工作愉快，心身健康~ [奶茶干杯],138.32500
好听！,139.28100
這個轉音好讚!!!,146.38500
哇哇哇哇哇哇好棒,146.56500
好听,152.12600
开开直播吧,154.83400
萌萌好棒！,165.08200
豪庭,166.28200
好好听啊啊,167.10000
豪庭！！,169.19200
太好听了,175.88400
好听,179.96500
夏果真的棒,180.49900
好听！！！,181.24000
好听,181.25800
感情好细腻,185.73100
96人,192.35400
好听,199.49800
好听的,200.84500
互联网让我静静听萌萌你唱歌,216.63600
好听！,218.96900
这就是青春啊！,246.46500
吉他声音小了店,255.21300
好好听,258.28900
很棒！,267.08400
